"","FC","log2(FC)","raw.pval","-log10(p)"
"LRP10",0.22534,-2.1498,0.0019991,2.6992
"CSDE1",0.38346,-1.3828,0.0051181,2.2909
"SULF2",4.3286,2.1139,0.007663,2.1156
"ARHGAP1",0.3251,-1.6211,0.008782,2.0564
"TFIP11",0.40231,-1.3136,0.011953,1.9225
"PTBP3",2.3773,1.2493,0.014237,1.8466
"MAL2",0.25774,-1.956,0.020975,1.6783
"WDR82",2.3461,1.2303,0.024067,1.6186
"IL18",0.41429,-1.2713,0.025645,1.591
"EMC8",2.2684,1.1817,0.027161,1.5661
"SKIC3",0.21781,-2.1989,0.028582,1.5439
"RAB13",0.4871,-1.0377,0.030416,1.5169
"UBR4",0.30466,-1.7147,0.038564,1.4138
"TMEM258",0.36194,-1.4662,0.040034,1.3976
"ARRB1",2.8581,1.5151,0.043924,1.3573
"DNM1L",0.48056,-1.0572,0.045241,1.3445
"TYK2",0.4907,-1.0271,0.048124,1.3176
