Protein Accession;Protein Name;Gene ID;Protein Description;MPT896_2690;MPT897_2691;MPT898_2692;MPT899_2693;MPT900_2694;MPT901_2695;MPT902_2696;MPT903_2697;MPT904_2698;MPT905_2699;MPT906_2700;MPT907_2701;MPT908_2702;MPT909_2703;MPT910_2704;MPT911_2705;MPT912_2706;MPT913_2707;MPT914_2708;MPT915_2709
"A0A0B4J2D5;P0DPI2";"GAL3B_HUMAN;GAL3A_HUMAN";"GATD3B;GATD3";"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial";143.3735;278.8405;196.1809;120.9231;;;193.7813;213.5694;136.3065;84.7436;291.9727;452.7169;383.4637;199.8816;334.1492;352.9396;336.8124;312.0565;259.0249;196.31
A0AVT1;UBA6_HUMAN;UBA6;Ubiquitin-like modifier-activating enzyme 6;392.3094;59.0054;46.9803;55.3566;;;48.6452;41.1583;93.381;;119.7425;90.8674;113.3537;131.1581;116.0437;144.5625;96.3982;91.3006;128.6901;81.9729
A0FGR8;ESYT2_HUMAN;ESYT2;Extended synaptotagmin-2;334.883;402.8766;297.0319;437.4569;321.9675;341.2142;350.9195;300.9096;431.0677;409.6604;397.1991;396.5472;358.94;251.3023;300.6165;473.6064;381.5087;475.415;253.7711;358.3388
A1L0T0;HACL2_HUMAN;ILVBL;2-hydroxyacyl-CoA lyase 2;;29.5552;14.1849;39.5708;22.2549;;25.5353;13.1475;33.6384;15.9783;59.4872;44.2525;52.8906;18.8054;;62.8127;40.2785;60.1018;;39.7698
A1XBS5;CBAR1_HUMAN;CIBAR1;CBY1-interacting BAR domain-containing protein 1;;44.807;38.3934;44.7467;35.1456;;52.4868;31.2975;30.2416;;15.5298;31.0004;;;;30.1392;21.9137;12.1441;;
A6NC98;CC88B_HUMAN;CCDC88B;Coiled-coil domain-containing protein 88B;1967.5754;170.6678;294.9856;896.0521;260.4004;468.2511;125.8611;324.4547;529.6785;506.5035;138.935;;458.404;662.3629;333.5605;164.7993;183.6161;161.3467;;670.6398
"A6NCE7;Q9GZQ8";"MP3B2_HUMAN;MLP3B_HUMAN";"MAP1LC3B2;MAP1LC3B";"Microtubule-associated proteins 1A/1B light chain 3 beta 2;Microtubule-associated proteins 1A/1B light chain 3B";55.4798;51.3444;51.1057;38.6921;;;;46.6823;47.5902;;62.8279;68.5767;66.1236;;149.7654;;68.9432;43.4155;;
A8K2U0;A2ML1_HUMAN;A2ML1;Alpha-2-macroglobulin-like protein 1;428.5131;131.1691;231.73;761.0369;1010.8976;230.4429;133.0472;264.2253;286.8703;322.1698;157.504;124.2528;337.6861;363.0753;250.3847;159.2585;150.1296;155.5366;386.8527;504.1506
"A8MWD9;P62308";"RUXGL_HUMAN;RUXG_HUMAN";"SNRPGP15;SNRPG";"Putative small nuclear ribonucleoprotein G-like protein 15;Small nuclear ribonucleoprotein G";295.2372;458.0046;956.5463;502.0683;151.9043;226.7557;316.1213;1112.9379;623.5598;193.0793;468.7291;421.9073;475.2681;757.9886;299.7106;785.4069;559.2115;432.3622;976.3234;379.9254
A8MXV4;NUD19_HUMAN;NUDT19;Acyl-coenzyme A diphosphatase NUDT19;;196.665;151.9352;105.9923;142.1582;;144.145;159.3954;117.8659;109.189;150.059;155.1583;136.5523;118.3947;145.8838;168.5157;123.751;104.1872;121.7648;227.0948
